Text,Category
"Giggs admits he was wavering and considering joining the likes of former Wales skipper Gary Speed and United team-mate Paul Scholes in committing the remaining years of his career to club football. But Giggs is now focussed on making the Toshack era even more successful than the time Hughes spent at the helm. The Manchester United winger won his first cap as a 17-year-old in 1991, an away loss to Germany, and now faces his landmark appearance at the age of 31. With Giggs leading Wales out against Hungary, there is every chance that he will become the permanent successor to Speed. However, Toshack refused to reveal whether he sees Giggs as a long-term option. ""For this particular game I think it is appropriate that Ryan Giggs will be captain, it's his 50th cap and he's known for some time about that,"" Toshack said. On Wednesday night Toshack takes charge of his first match since replacing Hughes, and Giggs said: ""It's my 50th cap and I am looking forward to it, and I hope to play a lot more times from here on in. ""It's important to be here, all the players feel the same. It's a new start and all the top players certainly see it as important. ""I see myself leading by example, it is something I have taken on for Wales as well as United these past few seasons. ""The way John is looking at things, he is aiming to build his side around the experienced lads right up to the next tournament, the Euro 2006 event. ""I have told John I will be around for the next European tournament, by then I will be 35 so hopefully I will still be okay. ""A lot can happen, but I'm hoping to be around."" Giggs' own personal future at Old Trafford is still up in the air as he has yet to reach agreement on a new contract, with Manchester United offering one extra year and Giggs seeking two. ""I have put the contract thing to the back of my mind at the moment,"" said Giggs. ""It is an important period for the club and I am just concentrated on that. ""I've heard the suggestions, hopefully there is a two-year deal about to be offered because that is what I am looking for, to get it sorted out. ""I'm enjoying my football, the way United have been playing and my own form, you have to enjoy it. ""We have massive games coming up: Manchester City this week, then the Everton cup tie, followed by AC Milan in the Champions League, and my first Wales game under John Toshack, so it's an important time.""",sport
"The 25-year-old tested positive for a banned substance - which he later denied was cocaine - in October. Chelsea have decided to write off a possible transfer fee for Mutu, a £15.8m signing from Parma last season, who may face a two-year suspension. A statement from Chelsea explaining the decision read:""We want to make clear that Chelsea has a zero tolerance policy towards drugs."" Mutu scored six goals in his first five games after arriving at Stamford Bridge but his form went into decline and he was frozen out by coach Jose Mourinho. Chelsea's statement added: ""This applies to both performance-enhancing drugs or so-called 'recreational' drugs. They have no place at our club or in sport. ""In coming to a decision on this case, Chelsea believed the club's social responsibility to its fans, players, employees and other stakeholders in football regarding drugs was more important than the major financial considerations to the company. ""Any player who takes drugs breaches his contract with the club as well as Football Association rules. ""The club totally supports the FA in strong action on all drugs cases."" Fifa's disciplinary code stipulates that a first doping offence should be followed by a six-month ban. And the sport's world governing body has re-iterated their stance over Mutu's failed drugs test, maintaining it is a matter for the domestic sporting authorities. ""Fifa is not in a position to make any comment on the matter until the English FA have informed us of their disciplinary decision and the relevant information associated with it,"" said a Fifa spokesman. Chelsea's move won backing from drug-testing expert Michelle Verroken. Verroken, a former director of drug-free sport for UK Sport, insists the Blues were right to sack Mutu and have enhanced their reputation by doing so. ""Chelsea are saying quite clearly to the rest of their players and their fans that this is a situation they are not prepared to tolerate. ""It was a very difficult decision for them and an expensive decision for them but the terms of his contract were breached and it was the only decision they could make. ""It is a very clear stance by Chelsea and it has given a strong boost to the reputation of the club."" It emerged that Mutu had failed a drugs test on October 18 and, although it was initially reported that the banned substance in question was cocaine. The Romanian international later suggested it was a substance designed to enhance sexual performance. The Football Association has yet to act on Mutu's failed drugs test and refuses to discuss his case.",sport
"Rico Gear ran in two of the All Blacks' seven tries in what was a predominantly second-string line-up. The Baa-Baas did threaten, scoring tries through Albert van den Bergh, Xavier Rush and Andrea Lo Cicero, but never looked like winning. All Black Aaron Mauger was in good form with the boot, adding 10 points. The All Blacks featured only two of the side which started last weekend's emphatic Test victory over France in Paris, while the Baa-Baas had nine Wallabies in their starting line-up. And New Zealand coach Graham Henry said: ""It was a quality performance against a very experienced side and a number of young guys came through very well. ""They learnt from the older players and this was a way of thanking the guys who had been mentoring them on the tour."" But the running rugby the crowd had been hoping for rarely materialised. Marty Holah got the All Blacks onslaught under way with his fifth-minute try before Rush hit back moments later. But New Zealand went ahead once more as Gear made use of the space vacated by a temporarily injured Chris Latham to slide in. Ma'a Nonu then found his way through the Barbarians defence to give his side a 19-7 half-time lead. The hosts failed to ignite in the second half and, the moment Gear scored his second just after the interval, there was only ever going to be one winner. Lo Cicero, the sole European for the Barbarians, bundled over for a try to briefly curtail the deficit. But the match was blighted by controversy moments later when Justin Marshall, was felled with a high tackle by Jimmy Cowan. Referee Andy Turner waved play on and Casey Laulala coasted in for his side's fifth try. Jermoe Keino and Piri Weepu both added tries to the All Blacks' tally before the final whistle, while van den Bergh gained some consolation for the Baa-Baas. After the match, Barbarians coach Bob Dwyer warned that South African flanker Schalk Burger needed a proper off-season break to maintain his standards. Burger, 21, was recently crowned player of the year by both his peers and the International Rugby Board, but has struggled for form in recent weeks. ""It's his first year at that level and he was phenomenal up until the end of the southern hemisphere season. ""I don't think he's played anywhere near that level on tour,"" he said.",sport
"Jorge Andrade's early own goal gave Liverpool a 1-0 win. And Benitez said: ""We started at a very high tempo and had many chances. It is a very important win for us and we could have scored more goals. ""We were very good defensively and also good on the counter attack. We are pleased but move on to the next game."" Igor Biscan was outstanding in midfield after replacing injured Xabi Alonso, and Benitez said: ""He played very well. ""It is important to have all the players ready and a good squad so you can play more games at a high level."" Benitez added: ""It is all back in our own hands now, it was a great win for us and I was delighted with what I feel was the best Liverpool I have seen. ""As far as my feelings about winning in Spain, that is really not important. ""I want to see us win away matches in the Champions League, that it was in Spain was not my first consideration. ""As far as I am concerned it is important for Liverpool to win, it is not important in what country it is in."" Benitez added: Benitez said: ""We had a problem before the start, it was decided that Xabi could not play more than 45 minutes. ""But in the end because of the way that (Dietmar) Hamann and (Igor) Biscan performed, we did not need to change things until right at the end of the match. ""Depor are a good team and if you allow them to keep possession they can be very dangerous indeed. ""But we knew that if we hit them on the counter-attack it would make them nervous, and that is how it worked out."" Deportivo coach Javier Irureta said: ""Liverpool played very well and we just could not break them down. ""I know we have now gone six games at home in Europe without scoring, but that does not reflect our overall performances. ""But this time we did not play well and we lacked imagination. ""The goal was a bad mistake and a big blow to our confidence. Players who usually want the ball at that stage did not want it. ""I know we are bottom of the group, but as long as there is hope of qualifying, we will hang on to that.""",sport
"Rangers had rarely threatened until Celtic goalkeeper Rab Douglas let defender Vignal's 25-yard drive slip through his grasp and into the net. Opposite number Ronald Waterreus had been Rangers' hero, saving superbly from Craig Bellamy and John Hartson. Striker Novo secured victory, lobbing Douglas with eight minutes remaining. It ended Celtic's 11-game unbeaten run at home in Old Firm derbies and gave Rangers manager Alex McLeish his first victory at the home of his Glasgow rivals. Celtic had won their last six meetings on their home pitch, including twice already this season. They started confidently, with new signing Bellamy, on loan from Newcastle United, given his Celtic debut up front with Wales international colleague John Hartson and Chris Sutton dropping into midfield. It took Bellamy just four minutes to threaten, taking on Marvin Andrews before delivering a low drive that was held by Waterreus at the second attempt. He had an even better chance after Hartson dispossesed Sotiris Kyrgiakos and sent his strike partner clear with only the goalkeeper to beat. But Waterreus did well to beat away Bellamy's disappointing low drive from 16 yards. Waterreus came to the rescue again when the ball fell to Hartson just inside the box and the Dutch goalkeeper made a brave block. It was an Old Firm return for Barry Ferguson as McLeish stuck by the side that thumped four goals past Hibernian. But Rangers found Celtic harder to break down and Douglas was not threatened until 10 minutes after the break. Dado Prso turned inside Neil Lennon only for the Celtic goalkeeper to beat away his powerful 18-yard drive. A great defensive header by Andrews prevented Hartson pouncing from five yards out. Hartson foxed Vignal at the edge of the Rangers box, but the striker's shot on the turn was again beaten away by Waterreus. Rangers were beginning to dominate the midfield and Vignal, collecting a knock back from Fernando Ricksen, broke the deadlock, Douglas somehow letting the Frenchman's dipping drive slip through his grasp. Novo pounced on a moments' hesitation in the Celtic defence to latch on to a long ball from Ricksen and lob the ball over the advancing Douglas. Ricksen appeared to be hit by a coin, but it could not prevent Rangers' celebrations at the final whistle.",sport
"O'Gara kicked all of Ireland's points, with two dropped goals and five penalties, to give the home side a 100% record in their autumn internationals. An impressive Argentina appeared in control until the dying seconds. The Pumas shocked the Irish early on with a try from Federico Aramburu, and Felipe Contepomi kicked 14 points. The well-drilled and sharper Pumas out-played and out-thought Ireland in the early stages. Indiscipline allowed Argentina's Leinster fly-half Contepomi to open the scoring in the third minute with a straightforward penalty. He was on the mark again two minutes later when Argentina shocked a ragged Ireland with the first try of the game. Ireland turned the ball over and Manuel Contepomi broke through an unstructured defence before feeding his midfield partner Aramburu to sprint in under the posts. O'Gara finally got Ireland on the board with a dropped goal in the ninth minute only for Contepomi to rifle over his second penalty two minutes later. Playing into a strong wind and rain, Ireland continued to come second best in tight situations, and turnovers began to mount up against a rugged defence. O'Gara managed to land his second penalty in the 36th minute, but once again Contepomi replied in kind four minutes into first-half injury time. The second-half started as the first had ended. O'Gara rifled over another penalty in the 45th minute, but Contepomi matched it three minutes later. The upper-body strength of the Pumas never allowed Ireland to take control up front, while the three-quarters had no space to manoeuvre. Ireland had to rely on O'Gara's boot to keep in touch rather than any contrived running plays. The Munsterman landed two more penalties - one of them from 48 metres - to bring his team to within four points with 13 minutes on the clock remaining. And Ireland's chance came when Argentina's number eight Gonzalo Longo was yellow carded with six minutes to go for an offence in the line-out. O'Gara made no mistake as he rifled over his fifth penalty to set up a tense final few minutes. But Ireland showed great composure to get themselves into a position to allow O'Gara to thump over a massive drop goal to complete a tremendous, if fortuitous, comeback.",sport
"The 21-year-old told a news conference in Cairo on Sunday that he is sorry for the problems that have led to his exclusion from the Pharaohs since July last year. Mido said: ""There isn't much I have to say today, all there is to say is that I came specially from England to Egypt to rejoin the national team and to apologise for all my mistakes."" Mido was axed by former coach Marco Tardelli after failing to answer a national call-up, claiming he had a groin injury. But he then played in a friendly for his club AS Roma within 24 hours of a World Cup qualifying match at home to Cameroon last September. Mido added: ""It's not my right to give orders and say when I want to play ... at the same time I will always make sure that I put the national's team's matches as my top priority. ""I feel that the national players are playing with a new spirit as I saw them play against Belgium (Egypt won 4-0 on Wednesday) and I simply want to add to their success. ""I do confess that I was rude to the Egyptian press at times but now I have gained more experience and know that I will never go anywhere without the press's support. ""Many of the international stars like David Beckham and (Zinedine) Zidane had the press opposing them. ""So I'm now used to the fact that the press can be against me at times and I don't have to overreact when this happens. Meanwhile, Egypt FA spokesman Methat Shalaby welcomed the apology and said no one had exerted pressure on Mido to apologise. ""Mido's apology today does not negatively affect Mido in anyway, on the contrary it makes him a bigger star and a role model for all football players,"" Shalaby said. Shalaby earlier said that after an apology Mido would be available for the national side if coach Hassan Shehata chose him. Mido joined Tottenham in an 18-month loan deal near the end of the January transfer window, scoring twice on his debut against Portsmouth.",sport
"Rooney's return was always going to be a potential flashpoint, and he was involved in an angry exchange with a spectator even before kick-off. And Rooney's every touch was met with a deafening chorus of jeers from the crowd that once idolised the 19-year-old. Everton started brightly and Fortune needed to be alert to scramble away a header from Bent near the goal-line. But that was the cue for United to take complete control with a supreme passing display on a Goodison Park pitch that was cutting up. Fortune gave United the lead after 23 minutes, rising to meet Ronaldo's cross from eight yards after the Portuguese youngster had been allowed too much time and space by the hapless Gary Naysmith. United dominated without creating too many clear-cut chances, and they almost paid the price for not making the most of their domination two minutes before half-time. Mikel Arteta played a superb ball into the area but Bent, played onside by Gabriel Heintze, hesitated and Carroll plunged at his fee to save. United almost doubled their lead after 48 minutes when Ronaldo's low drive from 25 yards took a deflection off Tony Hibbert, but Martyn dived to save brilliantly. And Martyn came to Everton's rescue three minutes later when Rooney's big moment almost arrived as he raced clean through, but once again the veteran keeper was in outstanding form. But there was nothing Martyn could do when United doubled their lead after 57 minutes as they doubled their advantage. Scholes' free-kick took a deflection, and Martyn could only parry the ball out for Ronaldo, who reacted first to score easily. Everton's problems worsened when James McFadden limped off with an injury. And there may be further trouble ahead for Everton after goalkeeper Carroll required treatment after he was struck on the head by a missile thrown from behind the goal. Rooney's desperate search for a goal on his return to Everton was halted again by Martyn in injury-time when he outpaced Stubbs, but once again Martyn denied the England striker.",sport
"Arsenal were barely seen as an attacking force in the opening 45 minutes, although Ljungberg turned a half-chance wide after good work by Cesc Fabregas. Arsene Wenger introduced Quincy Owusu-Abeyie for the ineffective Lupoli at half-time, and the pacy Dutch youngster had an immediate impact. He ran clear after good work by Mathieu Flamini, but his finish was tame and Kenny saved easily. Owusu-Abeyie then fired in a testing cross, which was met by Fabregas, and it needed a desperate clearance by Kenny's legs to save the Blades. Arsenal were now totally dominant, and were desperately unlucky not to take the lead after 62 minutes when Fabregas crashed a rising drive against the bar from 20 yards. It then took a brilliant tackle by Jagielka to deny Ljungberg as he was poised to strike. Arsenal continued to press, and once again Kenny was called into action with eight minutes left, diving low to clutch another close-range effort from Fabregas. Neil Warnock's side almost snatched victory in the dying seconds when Derek Geary's cross found Harley at the far post, but his diving header was brilliantly turned over by Almunia. Owusu-Abeyie's pace was causing all sorts of problems for the Blades, and as extra-time began, another surging run into the penalty area almost set up a chance for Ljungberg. Pascal Cygan missed Arsenal's best chance after 106 minutes, blazing across the face of goal when he was unmarked at the far post. Arsenal sent on Jeremie Aliadiere with seven minutes of extra-time left, and he almost broke the deadlock with his first touch. Kolo Toure's misplaced free-kick landed at his feet, but Kenny once again blocked from a tight angle. Arsenal laid siege to Sheffield United's goal in the dying minutes, but they somehow held on to force penalties. Almunia was then Arsenal's hero as another brave Blades cup campaign came to a losing end.",sport
"He has specialised in helping competitors fulfil their potential through psychology and has worked with the Great Britain women's curling team, who won gold at the 2002 Winter Olympics. Mark Lewis-Francis sought Collins' advice in Athens when he was looking for inspiration before he ran the final leg of Britain's surprise triumph in the 4x100m relay. Collins has played rugby at regional level, was captain of the Great Britain American Football team, and competed at national level in judo and karate. He arrives with British athletics at a crossroads. Despite Kelly Holmes' golden double and the success of the sprint relay squad, the GB team failed to live up to expectations in Athens. Many older competitors have retired or are coming to the end of their careers, and Britain failed to win a single medal at the world junior championships in Italy this year. Collins will not have day-to-day coaching contact with the athletes, but will be expected to make changes to the system and coaching set-up in order to secure medals at the Beijing Olympics in 2008. The appointment of a new performance director was one of the main recommendations in Sir Andrew Foster's review of the sport, which was published in May. It was commissioned by UK Sport and Sport England, which wanted UK Athletics to justify funding of more than Â£40m from the Government following the failure to hang on to the 2005 World Championships, which are now being held in Helsinki. Van Commenee dropped out of the selection process to take on the same role with the Dutch Olympic Committee, while Connor's application was rejected after an arduous interview process. Foster, however, declared himself satisfied with how the appointment was made. ""The appointment of David Collins, with his strong mix of leadership skills and managerial experience, is testament to the professional and detailed recruitment process,"" he said.",sport
